latitude,longitude,dem_m,slope_deg,TWI,HAND_m,ks_mmh,psi_cm,theta_s,IC_max_mmh
39.929403,116.168682,110.0,17.8898,9.3366,32.0,126.984,-7.82,0.4657,126.984
39.982802,116.522222,35.0,1.4707,10.9519,4.0,109.54,-8.044,0.4475,109.54
39.988653,116.509659,34.0,1.2948,12.9511,0.0,109.54,-8.044,0.4475,109.54
39.902297,116.515546,37.0,2.1054,10.5929,5.0,103.615,-11.1559,0.4651,103.615
39.841887,116.478903,35.0,2.2156,11.9281,1.0,126.766,-7.856,0.4646,126.766
39.863404,116.567311,28.0,6.1805,9.5125,2.0,32.307,-20.326,0.4861,32.307
39.823868,116.506227,35.0,2.3148,10.4979,4.0,126.766,-7.856,0.4646,126.766
39.814733,116.345035,44.0,7.7233,10.6738,1.0,29.81,-26.342,0.468,29.81
40.428162,115.973277,500.0,2.611,10.3774,3.0,58.7146,-14.1579,0.4816,58.7146
40.379651,115.881031,504.0,2.611,10.3774,7.0,41.6159,-16.8446,0.4646,41.6159
39.873535,116.46704,40.0,4.8713,10.1575,1.0,32.325,-22.199,0.4667,32.325
39.809898,116.303086,47.0,1.9036,11.61,1.0,45.579,-15.556,0.472,45.579
40.468379,115.962826,486.0,1.4707,14.7696,2.0,45.1076,-20.1434,0.4735,45.1076
39.847767,116.216721,63.0,2.611,10.3774,5.0,90.5666,-11.1169,0.4498,90.5666
39.80316,116.474347,34.0,2.9547,10.659,0.0,115.15,-9.7312,0.4649,115.15
39.833889,116.243523,55.0,3.0558,11.6061,1.0,61.7475,-16.3157,0.4544,61.7475
39.830104,116.467673,36.0,0.9361,12.5024,1.0,126.766,-7.856,0.4646,126.766
39.846761,116.486295,37.0,4.4401,9.8451,4.0,117.3219,-9.2903,0.4648,117.3219
39.823642,116.275576,47.0,2.9547,11.5063,3.0,45.579,-15.556,0.472,45.579
40.232568,116.228636,90.0,6.6853,9.4334,16.0,22.833,-21.265,0.4503,22.833
39.909603,116.61486,29.0,1.5152,10.9221,3.0,125.312,-7.795,0.4646,125.312
39.818168,116.153772,95.0,2.7289,10.3332,27.0,39.124,-18.4,0.4703,39.124
40.237712,116.214265,89.0,3.3653,11.5095,3.0,104.3079,-10.4178,0.462,104.3079
39.863815,116.452871,40.0,2.842,10.2925,4.0,111.0258,-10.2465,0.465,111.0258
39.937133,116.530692,34.0,1.1967,11.1581,2.0,125.312,-7.795,0.4646,125.312
40.033469,116.231435,95.0,13.159,8.7429,37.0,37.8012,-17.5136,0.4748,37.8012
39.808469,116.301864,48.0,1.1967,11.5636,3.0,45.579,-15.556,0.472,45.579
40.001512,116.100856,137.0,3.7224,10.022,7.0,36.477,-16.417,0.4673,36.477
40.410503,116.839521,76.0,0.0,14.5567,2.0,87.247,-12.2809,0.4654,87.247
40.039705,116.358662,38.0,2.0361,11.3195,0.0,36.91,-20.643,0.4703,36.91
40.121235,116.262307,41.0,2.7772,11.0088,2.0,140.068,-7.005,0.4543,140.068
39.826845,116.206379,61.0,3.3653,10.1232,6.0,108.4961,-8.1736,0.4475,108.4961
39.979006,116.755724,25.0,3.9311,9.9673,3.0,137.867,-6.652,0.4453,137.867
39.916119,116.724731,28.0,2.2115,10.5436,7.99,137.867,-6.652,0.4453,137.867
40.254534,116.53804,55.0,1.4707,12.2047,0.0,125.294,-7.837,0.4648,125.294
